from,to,timestamp,value
0x027beefcbad782faf69fad12dee97ed894c68549,0xcfbe7147bbfc235711adaba158cc8704ba8d65cc,"2017.03.13, 12:32:08",225.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xf1bde50c04673e6a3df190d282eb9070ed6026ba,"2017.03.13, 12:47:35",22.298204060000003
0x027beefcbad782faf69fad12dee97ed894c68549,0x22c9877960464a116a89f2afecf3d4f3f122dbdb,"2017.03.13, 13:01:26",250.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x890c2a9cf0b2c4a9c73349963ae78699a02c4c2c,"2017.03.13, 13:08:37",5.2709
0x027beefcbad782faf69fad12dee97ed894c68549,0x5848ca16157c828884b0c1638947a9b38326b497,"2017.03.13, 13:11:27",125.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.13, 13:17:26",50.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.13, 13:34:04",52.7
0x027beefcbad782faf69fad12dee97ed894c68549,0xf95e63dc2fe9642bb99dcebefcc8bd137635f7ba,"2017.03.13, 14:16:22",7.2015
0x027beefcbad782faf69fad12dee97ed894c68549,0xbe2d65568e772eea600ebfd45b72f74891a50312,"2017.03.13, 14:25:40",9.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2017.03.13, 14:41:14",800.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xbe2d65568e772eea600ebfd45b72f74891a50312,"2017.03.13, 14:46:15",354.08823501999996
0x027beefcbad782faf69fad12dee97ed894c68549,0xf635a2e27ad929ad375ffbae1bf033772c6e7aab,"2017.03.13, 14:52:38",2.47438121
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2017.03.13, 15:09:41",900.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 15:11:58",81.32286188
0x027beefcbad782faf69fad12dee97ed894c68549,0xc530fd52a82d7d62e1eaa4b3f8368907e67ec0db,"2017.03.13, 15:30:31",1.99
0x027beefcbad782faf69fad12dee97ed894c68549,0xd04c89ac7b7beca208b70ca2c98e66cccb160315,"2017.03.13, 16:22:23",16.92676972
0x027beefcbad782faf69fad12dee97ed894c68549,0x51fd541216077264cbc74c2755c1252cd3f10899,"2017.03.13, 16:58:16",524.21711261
0x027beefcbad782faf69fad12dee97ed894c68549,0x1f8f2171006b5d2408066b701db6e1b4843203b5,"2017.03.13, 17:44:58",332.5761087
0x027beefcbad782faf69fad12dee97ed894c68549,0xbd606574bf0e654a9482656a05e1a0afe4cb82e1,"2017.03.13, 17:44:58",1.437
0x027beefcbad782faf69fad12dee97ed894c68549,0xea115f10808a48c4c72d06f775b3b500758b7af4,"2017.03.13, 18:37:05",5.3
0x027beefcbad782faf69fad12dee97ed894c68549,0xf440a38ed9e7b476fb3aa609b0ae51fe949a6e12,"2017.03.13, 20:19:28",1.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xf440a38ed9e7b476fb3aa609b0ae51fe949a6e12,"2017.03.13, 20:42:21",49.53047745
0x027beefcbad782faf69fad12dee97ed894c68549,0x16e6379a4d9257902f7acd18df92ed735b13e306,"2017.03.13, 20:43:42",75.05957104
0x027beefcbad782faf69fad12dee97ed894c68549,0x18c25efa3571df9b6f9c77cd17164e8d31d0219c,"2017.03.13, 20:47:21",49.47169443
0x027beefcbad782faf69fad12dee97ed894c68549,0xa4a8c305c996ad9a3f5473a51bde0cd91de6518e,"2017.03.13, 20:51:08",1.99
0x027beefcbad782faf69fad12dee97ed894c68549,0xb67d905da6309e547fa288e1c6b3223941c38e19,"2017.03.13, 21:33:27",33.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xd9000a79000f9097475cc2b7d21486487f9051b2,"2017.03.13, 21:41:05",74.9
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.13, 21:41:05",239.5
0x027beefcbad782faf69fad12dee97ed894c68549,0x85653fd43ff80eba431b745de06bb4b2096a5b6d,"2017.03.13, 22:01:20",24.82502398
0x027beefcbad782faf69fad12dee97ed894c68549,0xfcde4905379f21f1b25ec1590e34e3de6226db73,"2017.03.13, 22:09:04",52.6
0x027beefcbad782faf69fad12dee97ed894c68549,0x85653fd43ff80eba431b745de06bb4b2096a5b6d,"2017.03.13, 22:13:28",7.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x220aee433c78cc5dd0efd00db39c12424170b001,"2017.03.13, 22:21:17",24.501875
0x027beefcbad782faf69fad12dee97ed894c68549,0xfcde4905379f21f1b25ec1590e34e3de6226db73,"2017.03.13, 22:25:09",47.1
0x027beefcbad782faf69fad12dee97ed894c68549,0x2cd78da2ef705d5e34166a4fab1fcd8fabf32106,"2017.03.13, 22:38:06",18.29897072
0x027beefcbad782faf69fad12dee97ed894c68549,0x8b611af3d440cfec746dad72bc002674e6e38421,"2017.03.13, 23:04:13",0.7777
0x027beefcbad782faf69fad12dee97ed894c68549,0x7a119215754705ba996b2f9b9c47bd5713b344d5,"2017.03.13, 23:08:18",34.4
0x027beefcbad782faf69fad12dee97ed894c68549,0xaec946927ee7a735712a9da384ccf204fa1a04af,"2017.03.14, 00:45:42",199.9
0x027beefcbad782faf69fad12dee97ed894c68549,0x2122164f64862190b63d156dd7f8e59bf4a30bd7,"2017.03.14, 01:13:15",55.421048760000005
0x027beefcbad782faf69fad12dee97ed894c68549,0x601d317ff54b68e5513ff1ffc5f66e53dc566e7e,"2017.03.14, 01:19:27",0.001701
0x027beefcbad782faf69fad12dee97ed894c68549,0x01403e43b15862df24b1972d24f13f254f2aaed6,"2017.03.14, 01:19:27",1.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x01403e43b15862df24b1972d24f13f254f2aaed6,"2017.03.14, 01:27:27",49.50086099999999
0x027beefcbad782faf69fad12dee97ed894c68549,0x9a5cd8f0449472ad92c8a9c84de3695fbc8738e3,"2017.03.14, 01:29:43",17.1
0x027beefcbad782faf69fad12dee97ed894c68549,0x72699c50e7f9013800b16ea3719cb8b0c4bd4775,"2017.03.14, 01:52:18",3.08213392
0x027beefcbad782faf69fad12dee97ed894c68549,0xdfe02b7522685cc4d71b8e4887242c123348c669,"2017.03.14, 02:06:38",5.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xb8c0cd65658d1f87637699d07c7631bae1d35b47,"2017.03.14, 02:19:03",20.87211035
0x027beefcbad782faf69fad12dee97ed894c68549,0xd9000a79000f9097475cc2b7d21486487f9051b2,"2017.03.14, 02:22:07",30.6
